"Role", "Prompt"
"DevOps", "a DevOps technician, who must design and manage infrastructure to support the application."
"Designer", "a Designer, who specializes in Human Centered Design and will be responsible for the User Experience and User Interface of the application."
"Developer", "a Developer, who specializes in implementing Drupal, who will have to implement the backend business logic speciifed for an application."
"Project Manager", "a Project manager who will need to track and organize work and guide the client towards completing a task."
